https://www.ctcrash.uconn.edu/QueryTool2.action?qid=215822
"CrashId","VehicleId","Vehicle Unit Type","Vehicle Unit Type Text Format","Number of Occupants in Vehicle","Make","Vehicle Model Year","Vehicle Model Year Text Format","Model","Vehicle Color","Direction of Travel Before Crash","Direction of Travel Before Crash Text Format","Direction is Unknown","Most Harmful Event","Most Harmful Event Text Format","Vehicle Maneuver/Action","Vehicle Maneuver/Action Text Format","Contributing Circumstances, Motor Vehicle","Contributing Circumstances, Motor Vehicle Text Format","Contributing Circumstances, Motor Vehicle","Contributing Circumstances, Motor Vehicle Text Format","Posted/Statutory Speed Limit","Towed Status","Towed Status Text Format","Trafficway Description","Trafficway Description Text Format","Total Lanes In Roadway","Roadway Alignment","Roadway Alignment Text Format","Roadway Grade","Roadway Grade Text Format","Initial Contact Point","Initial Contact Point Text Format","Extent of Damage","Extent of Damage Text Format","Body Type","Body Type Text Format","Vehicle Action","Vehicle Action Text Format","Contributing Circumstances of Vehicle","Contributing Circumstances of Vehicle Text Format","VIN","Traffic Control Device Type","Traffic Control Device Type Text Format","Traffic Control Device Functional?","Traffic Control Device Functional? Text Format","Sequence of Events 1","Sequence of Events 1 Text Format","Sequence of Events 2","Sequence of Events 2 Text Format","Sequence of Events 3","Sequence of Events 3 Text Format","Sequence of Events 4","Sequence of Events 4 Text Format","Special Function Of Vehicle In Operation","Special Function Of Vehicle In Operation Text Format","Emergency Vehicle Use","Emergency Vehicle Use Text Format","Were Hazardous Materials Released","Were Hazardous Materials Released Text Format","Owner City","Owner State","Owner Country","Owner Postal Code","Owner Information Same As Driver","Hit And Run Status","Towed To","Was Serial Number Missing/Removed","Bike Lanes/Sharrows Present","Name Of Roadway On Which Vehicle Was Traveling","Vehicle Was Not On Roadway","Motor Vehicle Registration State","Motor Vehicle Registration Was Invalid","Motor Vehicle Registration Plate Was Missing","Bus Use","Name Of Issuing Insurance Company","US DOT Number","Carrier Name","Carrier City","Carrier State","Carrier Country","Carrier Postal Code","Carrier Type","Carrier Type Text Format","Power Unit Owner Information Same As Carrier","Power Unit Owner City","Power Unit Owner State","Power Unit Owner Country","Power Unit Owner Postal Code","Gross Vehicle Weight Rating","Gross Vehicle Weight Rating Text Format","Vehicle Configuration","Vehicle Configuration Text Format","Cargo Body Type","Cargo Body Type Text Format","Insurance Expiration Date","Hazardous Materials Placard Display","Hazardous Materials Placard Display Text Format","Hazardou sMaterials Placard Number","Hazardou sMaterials Placard Class Number"
"1348047","1","1","Vehicle in Operation","4","TESL","2022","2022","TX","Gray","S","Southbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","","","","2","Towed But not Due to Disabling Damage","1","Two-Way, Not Divided","4","1","Straight","1","Level","6","Sector 6 (South) in the 12-point Clock Diagram","3","Functional Damage","1","Passenger Car","1","Straight Ahead","0","None","7SAYGDEF4NF565589","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Coram","NY","","","false","","Modern Garage, LLC-100 Airport Road, Hartford, CT","false","false","Washington Street","false","NY","false","false","","United Services Automobile Association ","","","","","","","","","","","","","","","","","","","","2026-03-02","","","",""
"1348047","2","1","Vehicle in Operation","2","INFI","2013","2013","E37","Gray","S","Southbound","false","22","Motor Vehicle In Motion","4","Changing Lanes","0","None","","","","2","Towed But not Due to Disabling Damage","1","Two-Way, Not Divided","4","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","3","Functional Damage","1","Passenger Car","4","Changing Lanes","0","None","JN1BJ0HR7DM480242","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","26","Other Non-Fixed Object","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Manchester","CT","","","false","","Private Tow","false","false","Washington Street","false","CT","false","false","","Progressive","","","","","","","","","","","","","","","","","","","","2026-01-24","","","",""
"1348060","1","2","Parked Vehicle","1","KIA","2019","2019","Soul","Gray","S","Southbound","false","22","Motor Vehicle In Motion","12","Parked","0","None","88","Not Applicable","88","3","Not Towed","1","Two-Way, Not Divided","","1","Straight","1","Level","7","Sector 7 (South by SouthWest) in the 12-point Clock Diagram","4","Disabling Damage","1","Passenger Car","12","Parked","0","None","KNDJN2A2XK7024656","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","New Britain","CT","","06051","","false","","false","false","APPLE TREE HILL","false","CT","false","false","1","GEICO Choice Insurance Company","","","","","","","","","","","","","","","","","","","","","","","",""
"1348060","2","1","Vehicle in Operation","1","UNKNOWN","","","","","S","Southbound","false","23","Parked Vehicle","99","Unknown","99","Unknown","88","Not Applicable","88","","","1","Two-Way, Not Divided","","1","Straight","1","Level","99","Unknown","99","Unknown","99","Unknown","99","Unknown","99","Unknown","","1","No Control Device","88","Not Applicable","23","Parked Vehicle","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","","","","","","true","","false","false","APPLE TREE HILL","false","CT","false","false","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1348124","1","1","Vehicle in Operation","2","FORD","2021","2021","TRN","White","S","Southbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","","","","3","Not Towed","1","Two-Way, Not Divided","5","1","Straight","1","Level","6","Sector 6 (South) in the 12-point Clock Diagram","3","Functional Damage","3","Passenger Van","1","Straight Ahead","0","None","1FDBW2XGXMKA40579","3","Traffic Control Signal","2","Yes","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","7","Ambulance","3","Emergency Operation, Emergency Warning Equipment Not in Use","","","Manchester","CT","UnitedStates","","false","","","false","false","Cogswell Street","false","CT","false","false","","Market Insurance Company","","","","","","","","","","","","","","","","","","","","2026-10-19","","","",""
"1348124","2","1","Vehicle in Operation","1","","","","","Silver","S","Southbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","","","","3","Not Towed","1","Two-Way, Not Divided","5","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","99","Unknown","1","Passenger Car","1","Straight Ahead","0","None","","3","Traffic Control Signal","2","Yes","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","","","","","false","","","false","false","Cogswell Street","false","CT","true","false","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1348197","1","1","Vehicle in Operation","1","TOYT","2022","2022","TACOM","WHIT","E","Eastbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","88","Not Applicable","65","3","Not Towed","4","Two-Way, Divided, Positive Median Barrier","3","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","3","Functional Damage","5","Pick Up","1","Straight Ahead","0","None","3TMDZ5BN2NM126426","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Springfield","MA","","01129","","","","false","false","I-84","false","MA","false","false","1","PROGESSIVE","","","","","","","","","","","","","","","","","","","","","","","",""
"1348197","2","1","Vehicle in Operation","1","Chevrolet","2014","2014","Impala Limited Polic","White","E","Eastbound","false","22","Motor Vehicle In Motion","4","Changing Lanes","0","None","88","Not Applicable","65","1","Towed Due to Disabling Damage","4","Two-Way, Divided, Positive Median Barrier","3","1","Straight","1","Level","11","Sector 11 (North by NorthWest) in the 12-point Clock Diagram","4","Disabling Damage","1","Passenger Car","4","Changing Lanes","0","None","2G1WD5E30E1146434","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Vernon","CT","","06066","","","Mill Street","false","false","I-84","false","CT","false","false","1","Progressive Direct Insurance","","","","","","","","","","","","","","","","","","","","","","","",""
"1348224","1","2","Parked Vehicle","0","AUDI","2018","2018","Q5","Blue","S","Southbound","false","22","Motor Vehicle In Motion","12","Parked","","","","","","","","1","Two-Way, Not Divided","2","1","Straight","1","Level","9","Sector 9 (West) in the 12-point Clock Diagram","3","Functional Damage","2","(Sport) Utility Vehicle","12","Parked","","","WAIBNAFY2J2241071","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","1","Non-Emergency Situation, Non Transporting Patient","","","Hartford","CT","UnitedStates","06106","false","true","","false","false","HARVARD STREET","false","CT","false","false","1","GEICO INSURANCE CO.","","","","","","","","","","","","","","","","","","","","2026-03-30","","","",""
"1348224","2","1","Vehicle in Operation","1","99","","","","","","","","23","Parked Vehicle","99","Unknown","99","Unknown","","","99","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","99","Unknown","99","Unknown","99","Unknown","99","Unknown","99","Unknown","","99","Unknown","99","Unknown","23","Parked Vehicle","88","Not Applicable","88","Not Applicable","88","Not Applicable","99","Unknown","99","Unknown","","","","","","","","true","","","","harvard st ","","","","","99","","","","","","","","","","","","","","","","","","","","","","","","",""
